year,Nationality,region,order,dist.class,Moran.correlog,p.value,p.value.sig,red.dots,links,class.links,sig
1991,Total,Catalonia,Total Birth Order,279417.2133,0.048854923,0.274575441,0,NA,NA,1 to 20,FALSE
2001,Total,Catalonia,Total Birth Order,11501.01848,0.144193666,0.003570401,1,1,NA,>500,TRUE
2001,Total,Catalonia,Total Birth Order,32109.95654,0.092540864,0.003687545,1,1,NA,>500,TRUE
2001,Total,Catalonia,Total Birth Order,52718.8946,0.043208046,0.056898541,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,73327.83267,-0.006676731,0.477359589,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,93936.77073,0.008859081,0.28663657,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,114545.7088,-0.078205521,0.972445001,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,135154.6469,-0.100477938,0.987210824,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,155763.5849,-0.054601714,0.81906804,0,NA,NA,>500,FALSE
2001,Total,Catalonia,Total Birth Order,176372.523,-0.054689195,0.746226833,0,NA,NA,101 to 500,FALSE
2001,Total,Catalonia,Total Birth Order,196981.461,-0.107262318,0.845579184,0,NA,NA,101 to 500,FALSE
2001,Total,Catalonia,Total Birth Order,217590.3991,0.047399387,0.270032812,0,NA,NA,101 to 500,FALSE
2001,Total,Catalonia,Total Birth Order,238199.3372,-0.148572072,0.782680546,0,NA,NA,21 to 100,FALSE
2001,Total,Catalonia,Total Birth Order,258808.2752,0.133346159,0.11683344700000001,0,NA,NA,21 to 100,FALSE
2001,Total,Catalonia,Total Birth Order,279417.2133,-0.103934462,0.468244021,0,NA,NA,1 to 20,FALSE
2011,Total,Catalonia,Total Birth Order,11501.01848,0.068885718,0.085698062,1,1,NA,>500,TRUE
2011,Total,Catalonia,Total Birth Order,32109.95654,0.083524043,0.007300688,1,1,NA,>500,TRUE
2011,Total,Catalonia,Total Birth Order,52718.8946,0.046172378,0.047128251,1,1,NA,>500,TRUE
2011,Total,Catalonia,Total Birth Order,73327.83267,0.032277528,0.081779877,1,1,NA,>500,TRUE
2011,Total,Catalonia,Total Birth Order,93936.77073,-0.054058826,0.933104698,0,NA,NA,>500,FALSE
2011,Total,Catalonia,Total Birth Order,114545.7088,-0.014181001,0.563819344,0,NA,NA,>500,FALSE
2011,Total,Catalonia,Total Birth Order,135154.6469,-0.012585301,0.541061199,0,NA,NA,>500,FALSE
2011,Total,Catalonia,Total Birth Order,155763.5849,0.055553882,0.103820559,1,1,NA,>500,TRUE
2011,Total,Catalonia,Total Birth Order,176372.523,0.016006572,0.342473388,1,1,NA,101 to 500,TRUE
2011,Total,Catalonia,Total Birth Order,196981.461,-0.115243798,0.86802727,0,NA,NA,101 to 500,FALSE
2011,Total,Catalonia,Total Birth Order,217590.3991,-0.022528485,0.497469337,1,1,NA,101 to 500,TRUE
2011,Total,Catalonia,Total Birth Order,238199.3372,-0.115140915,0.706627979,0,NA,NA,21 to 100,FALSE
2011,Total,Catalonia,Total Birth Order,258808.2752,-0.149658792,0.638629065,0,NA,NA,21 to 100,FALSE
2011,Total,Catalonia,Total Birth Order,279417.2133,-0.238614559,0.651198315,0,NA,NA,1 to 20,FALSE
1981,Total,Canary Islands,Total Birth Order,22431.96681,0.291322333,5.40992e-4,1,1,286,101 to 500,TRUE
1981,Total,Canary Islands,Total Birth Order,61037.60025,0.032172779,0.319188076,1,1,68,21 to 100,TRUE
1981,Total,Canary Islands,Total Birth Order,99643.23369,0.042829713,0.152611428,1,1,282,101 to 500,TRUE
1981,Total,Canary Islands,Total Birth Order,138248.8671,-0.261357805,0.972717547,0,NA,156,101 to 500,FALSE
1981,Total,Canary Islands,Total Birth Order,176854.5006,-5.06045e-4,0.386944981,1,1,36,21 to 100,TRUE
1981,Total,Canary Islands,Total Birth Order,215460.134,0.233433062,0.035141936,1,1,78,21 to 100,TRUE
1981,Total,Canary Islands,Total Birth Order,254065.7675,0.270602198,0.020374195,1,1,76,21 to 100,TRUE
1981,Total,Canary Islands,Total Birth Order,292671.4009,-0.036577834,0.358696278,1,1,36,21 to 100,TRUE
1981,Total,Canary Islands,Total Birth Order,331277.0343,-0.663590297,0.931012564,0,NA,16,1 to 20,FALSE
1981,Total,Canary Islands,Total Birth Order,369882.6678,-0.949435619,0.969681658,0,NA,10,1 to 20,FALSE
1981,Total,Canary Islands,Total Birth Order,408488.3012,-0.974431132,0.990714925,0,NA,12,1 to 20,FALSE
1991,Total,Canary Islands,Total Birth Order,22431.96681,0.235585837,0.00347018,1,1,NA,101 to 500,TRUE
1991,Total,Canary Islands,Total Birth Order,61037.60025,-0.166150288,0.753201152,0,NA,NA,21 to 100,FALSE
1991,Total,Canary Islands,Total Birth Order,99643.23369,0.161147618,0.005032624,1,1,NA,101 to 500,TRUE
1991,Total,Canary Islands,Total Birth Order,138248.8671,-0.043119467,0.532771001,0,NA,NA,101 to 500,FALSE
1991,Total,Canary Islands,Total Birth Order,176854.5006,0.495344242,0.003603725,1,1,NA,21 to 100,TRUE
1991,Total,Canary Islands,Total Birth Order,215460.134,-0.114323012,0.666774112,0,NA,NA,21 to 100,FALSE
1991,Total,Canary Islands,Total Birth Order,254065.7675,-0.154940625,0.785175794,0,NA,NA,21 to 100,FALSE
1991,Total,Canary Islands,Total Birth Order,292671.4009,-0.228072608,0.828758003,0,NA,NA,21 to 100,FALSE
1991,Total,Canary Islands,Total Birth Order,331277.0343,-0.085263622,0.420249109,0,NA,NA,1 to 20,FALSE
1991,Total,Canary Islands,Total Birth Order,369882.6678,-0.835136717,0.946874724,0,NA,NA,1 to 20,FALSE
1991,Total,Canary Islands,Total Birth Order,408488.3012,-0.968947905,0.991581212,0,NA,NA,1 to 20,FALSE
2001,Total,Canary Islands,Total Birth Order,22431.96681,0.075832919,0.121861367,0,NA,NA,101 to 500,FALSE
2001,Total,Canary Islands,Total Birth Order,61037.60025,0.066541227,0.232083088,0,NA,NA,21 to 100,FALSE
2001,Total,Canary Islands,Total Birth Order,99643.23369,0.004062607,0.295526458,0,NA,NA,101 to 500,FALSE
2001,Total,Canary Islands,Total Birth Order,138248.8671,0.123174913,0.082841855,0,NA,NA,101 to 500,FALSE
2001,Total,Canary Islands,Total Birth Order,176854.5006,0.010502647,0.36727169,0,NA,NA,21 to 100,FALSE
2001,Total,Canary Islands,Total Birth Order,215460.134,-0.014771194,0.414858996,0,NA,NA,21 to 100,FALSE
2001,Total,Canary Islands,Total Birth Order,254065.7675,-0.143588429,0.772170956,0,NA,NA,21 to 100,FALSE
2001,Total,Canary Islands,Total Birth Order,292671.4009,-0.148263815,0.644199146,0,NA,NA,21 to 100,FALSE
2001,Total,Canary Islands,Total Birth Order,331277.0343,-0.577114338,0.895482705,0,NA,NA,1 to 20,FALSE
2001,Total,Canary Islands,Total Birth Order,369882.6678,-0.924517197,0.966266839,0,NA,NA,1 to 20,FALSE
2001,Total,Canary Islands,Total Birth Order,408488.3012,-0.825965513,0.975021092,0,NA,NA,1 to 20,FALSE
2011,Total,Canary Islands,Total Birth Order,22431.96681,0.005587181,0.352811234,1,1,NA,101 to 500,TRUE
2011,Total,Canary Islands,Total Birth Order,61037.60025,-0.213175941,0.813247574,0,NA,NA,21 to 100,FALSE
2011,Total,Canary Islands,Total Birth Order,99643.23369,-0.00670793,0.362675523,1,1,NA,101 to 500,TRUE
2011,Total,Canary Islands,Total Birth Order,138248.8671,0.022603141,0.324285981,1,1,NA,101 to 500,TRUE
2011,Total,Canary Islands,Total Birth Order,176854.5006,-0.251082182,0.822291384,0,NA,NA,21 to 100,FALSE
2011,Total,Canary Islands,Total Birth Order,215460.134,0.025022554,0.320876394,1,1,NA,21 to 100,TRUE
2011,Total,Canary Islands,Total Birth Order,254065.7675,-0.152020708,0.773770097,0,NA,NA,21 to 100,FALSE
2011,Total,Canary Islands,Total Birth Order,292671.4009,-0.071553456,0.447150389,1,1,NA,21 to 100,TRUE
2011,Total,Canary Islands,Total Birth Order,331277.0343,-0.182904896,0.548305768,0,NA,NA,1 to 20,FALSE
2011,Total,Canary Islands,Total Birth Order,369882.6678,-0.667751815,0.903650054,0,NA,NA,1 to 20,FALSE
2011,Total,Canary Islands,Total Birth Order,408488.3012,-0.320762239,0.60202852,0,NA,NA,1 to 20,FALSE
1981,Total,Valencian Comm.,Total Birth Order,12089.02623,0.019794778,0.288561429,1,1,1102,>500,TRUE
1981,Total,Valencian Comm.,Total Birth Order,33286.67273,0.083611752,0.009176623,1,1,1496,>500,TRUE
1981,Total,Valencian Comm.,Total Birth Order,54484.31923,0.01476235,0.237937729,1,1,1638,>500,TRUE
1981,Total,Valencian Comm.,Total Birth Order,75681.96573,-0.028826422,0.706268084,0,NA,1504,>500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,96879.61223,0.034746887,0.121424799,1,1,1268,>500,TRUE
1981,Total,Valencian Comm.,Total Birth Order,118077.2587,-0.056662333,0.861833901,0,NA,1032,>500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,139274.9052,0.072694103,0.061199658999999997,1,1,770,>500,TRUE
1981,Total,Valencian Comm.,Total Birth Order,160472.5517,-0.071947901,0.82717131,0,NA,530,>500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,181670.1982,-0.061021592,0.717000432,0,NA,308,101 to 500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,202867.8447,-0.07079873,0.686734246,0,NA,192,101 to 500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,224065.4912,-0.065161263,0.60837686,0,NA,120,101 to 500,FALSE
1981,Total,Valencian Comm.,Total Birth Order,245263.1377,-0.307126002,0.940340412,0,NA,66,21 to 100,FALSE
1981,Total,Valencian Comm.,Total Birth Order,266460.7842,0.017875644,0.330685171,1,1,46,21 to 100,TRUE
1981,Total,Valencian Comm.,Total Birth Order,287658.4307,-0.560616404,0.978190343,0,NA,28,21 to 100,FALSE
1991,Total,Valencian Comm.,Total Birth Order,12089.02623,0.327479629,2.54e-10,1,1,NA,>500,TRUE
1991,Total,Valencian Comm.,Total Birth Order,33286.67273,0.308028685,7.04e-16,1,1,NA,>500,TRUE
1991,Total,Valencian Comm.,Total Birth Order,54484.31923,0.11921657,1.04592e-4,1,1,NA,>500,TRUE
1991,Total,Valencian Comm.,Total Birth Order,75681.96573,1.03425e-4,0.385849607,0,NA,NA,>500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,96879.61223,-0.036937938,0.758242256,0,NA,NA,>500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,118077.2587,-0.105275396,0.986621877,0,NA,NA,>500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,139274.9052,-0.312838701,0.99999999,0,NA,NA,>500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,160472.5517,-0.290496082,0.999990526,0,NA,NA,>500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,181670.1982,-0.247464062,0.997591567,0,NA,NA,101 to 500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,202867.8447,0.032553727,0.308057231,0,NA,NA,101 to 500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,224065.4912,-0.223638727,0.934054746,0,NA,NA,101 to 500,FALSE
1991,Total,Valencian Comm.,Total Birth Order,245263.1377,-0.460363236,0.994314393,0,NA,NA,21 to 100,FALSE
1991,Total,Valencian Comm.,Total Birth Order,266460.7842,-0.668609839,0.999261449,0,NA,NA,21 to 100,FALSE
1991,Total,Valencian Comm.,Total Birth Order,287658.4307,-0.775255375,0.999098725,0,NA,NA,21 to 100,FALSE
2001,Total,Valencian Comm.,Total Birth Order,12089.02623,0.117394576,0.008787947,1,1,NA,>500,TRUE
2001,Total,Valencian Comm.,Total Birth Order,33286.67273,-0.014373732,0.544064343,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,54484.31923,-0.008289369,0.480272697,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,75681.96573,-0.041932429,0.822319043,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,96879.61223,0.036103661,0.113398761,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,118077.2587,-0.036059218,0.729280463,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,139274.9052,-0.082205239,0.910988634,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,160472.5517,-0.012235067,0.511163171,0,NA,NA,>500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,181670.1982,-0.007484084,0.469823102,0,NA,NA,101 to 500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,202867.8447,0.097069687,0.12846602,0,NA,NA,101 to 500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,224065.4912,0.071166065,0.211063061,0,NA,NA,101 to 500,FALSE
2001,Total,Valencian Comm.,Total Birth Order,245263.1377,-0.153313634,0.750070378,0,NA,NA,21 to 100,FALSE
2001,Total,Valencian Comm.,Total Birth Order,266460.7842,-0.311531051,0.905487968,0,NA,NA,21 to 100,FALSE
2001,Total,Valencian Comm.,Total Birth Order,287658.4307,-0.381150678,0.897861158,0,NA,NA,21 to 100,FALSE
2011,Total,Valencian Comm.,Total Birth Order,12089.02623,0.170856742,3.9698e-4,1,1,NA,>500,TRUE
2011,Total,Valencian Comm.,Total Birth Order,33286.67273,0.044665283,0.083809041,1,1,NA,>500,TRUE
2011,Total,Valencian Comm.,Total Birth Order,54484.31923,0.021731406,0.179997676,1,1,NA,>500,TRUE
2011,Total,Valencian Comm.,Total Birth Order,75681.96573,-0.173997481,0.999998905,0,NA,NA,>500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,96879.61223,-0.066699853,0.930930319,0,NA,NA,>500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,118077.2587,0.025202212,0.205298966,1,1,NA,>500,TRUE
2011,Total,Valencian Comm.,Total Birth Order,139274.9052,-0.040589472,0.714614531,0,NA,NA,>500,FALSE
2011,Total,Valencian Comm.,Total Birth Order,160472.5517,0.044372853,0.200083525,1,1,NA,>500,TRUE
